id,name,price,category_id,image_url,image_local
1,2 3/4 Kuruvi,10,1,https://rnikashcrackers.com/storage/Ue5nOPg8yRhoksYSh3cXxNsOGtLhDJ-metaYmlqXzAyM3EuanBn-.jpg,1_2_3_4_Kuruvi.jpg
2,"3 1/2"" Lakshmi",15,1,https://rnikashcrackers.com/storage/Z8RdKpjo0ejVkCrWxOfZu0cNXvcreT-metaS3BKZGJpUWcuanBlZw==-.jpg,2_3_1_2__Lakshmi.jpg
3,"4"" Lakshmi",30,1,https://rnikashcrackers.com/storage/WwD0mg0Pji9sJCYHbxfurh54ojtyMi-metadW5uYW1lZC5wbmc=-.png,3_4__Lakshmi.png
4,"4"" Gold Lakshmi",35,1,https://rnikashcrackers.com/storage/HSzkCLJkAbNtplerCl6kcVFS1vhPbb-metaZ29sZC1sYWtzaG1pLWVlNjI2ZTQyLTZlNjEtNDEyOC1iYTIwLTU1MjM0YTJjNjA0NC5qcGc=-.jpg,4_4__Gold_Lakshmi.jpg
5,"4 1/2"" Bahubali",45,1,https://rnikashcrackers.com/storage/kmMqevTWhw8HnhsuFAHkda5Gv8vCfD-metaNS1pbmNoLWJhaHViYWxpLTVwY3MtcG9ja2V0LS01MDB4NTAwLndlYnA=-.webp,5_4_1_2__Bahubali.webp
7,"5"" Jallikattu",60,1,https://rnikashcrackers.com/storage/3fpwZVe1q4go2MjRRRcqQbct21JPo5-metaMl8wMDIwX3N0b3JlY2FtZXJhX2t6azY1ZzhfbnVnZ2kxLmpwZw==-.jpg,7_5__Jallikattu.jpg
8,"6"" Lion King",80,1,https://rnikashcrackers.com/storage/aIDGIBQpSnNSWAbDG3v6NSZvzsSmQj-metaZG93bmxvYWQuanBn-.jpg,8_6__Lion_King.jpg
9,28 Chorsa,10,2,https://rnikashcrackers.com/storage/XzSn0B46aV4ZhSPaso3bqovz2HiryT-metaaW1hZ2VzLmpwZw==-.jpg,9_28_Chorsa.jpg
10,28 Giant,20,2,https://rnikashcrackers.com/storage/83ZAQYxtZOyNW846llf2oJBkBaczsF-metaMjgtUmVkZm9ydC1HaWFudC5wbmc=-.png,10_28_Giant.png
11,56 Giant,40,2,https://rnikashcrackers.com/storage/EXhENr6fvsi5akkB8cQym75lYp6QAe-metaZG93bmxvYWQgKDEpLmpwZw==-.jpg,11_56_Giant.jpg
12,24 DIx,30,3,https://rnikashcrackers.com/storage/PFJ335MQzHUDiFjuF6SoIGMAlfCZ5y-metaeTEud2VicA==-.webp,12_24_DIx.webp
14,50 Dlx,75,3,https://rnikashcrackers.com/storage/5NJabLU2c5dDgG7CfjxO6psoKDrBLm-metaNTBkZWx1eGUtY3JhY2tlcnMtZmlyZWNyYWNrZXItMzc3MjE3MDY2LXRxbHJsLmpwZw==-.jpg,14_50_Dlx.jpg
16,Flower Pots Small,60,4,https://rnikashcrackers.com/storage/OPUzW8BA9CHveHrQrayfxBdlJ6mdUd-metaV2hhdHNBcHAtSW1hZ2UtMjAyMi0wOS0yMi1hdC0zLjM3LjU3LVBNLTEuanBlZw==-.jpg,16_Flower_Pots_Small.jpg
17,Flower Pots Big,70,4,https://rnikashcrackers.com/storage/XcFUTT5zCDveepdt5KGK4hUeaacAAa-metaYmlnLWNvbmljYWwtZmxvd2VyLXBvdC1jcmFja2VyLTkxNy5qcGc=-.jpg,17_Flower_Pots_Big.jpg
18,Flower Pots Special,80,4,https://rnikashcrackers.com/storage/eg2q7S5Jfz5DfBXCyDRoDhbb8W8HSc-metaZmxvd2VyLXBvdHMtc3BlY2lhbC5qcGVn-.jpg,18_Flower_Pots_Special.jpg
19,Flower Pots Asoka,120,4,https://rnikashcrackers.com/storage/wj20oo9HgHo0OqkIuZup4NhsQWs5uB-metaU3Vuc2hpbmUtRmxvd2VyLVBvdHMtQXNva2EtMTAtUGNzLmpwZw==-.jpg,19_Flower_Pots_Asoka.jpg
20,Colour Kotti,200,4,https://rnikashcrackers.com/storage/VGzYohy4a7lbfYWzZ27C5LIJx8rQrN-metaU3Vuc2hpbmUtRmxvd2VyLVBvdHMtQ29sb3Jrb3R0aS1HaWFudC0xMC1QY3MuanBn-.jpg,20_Colour_Kotti.jpg
21,Chakkar Big (10 pcs),40,5,https://rnikashcrackers.com/storage/iI0OuU0MkUmF3dG5xUrUDU0L9kPt1h-metaMWMzZTE4MTI1ZTk4NjgxZDhjNGNjODQwOGJjZjk1MjAuanBn-.jpg,21_Chakkar_Big__10_pcs.jpg
22,Chakkar Special,95,5,https://rnikashcrackers.com/storage/CKA3yYD1dOFgJbLeHk5mGgwCnyGe3V-metaZG93bmxvYWQgKDIpLmpwZw==-.jpg,22_Chakkar_Special.jpg
23,Chakkar Dlx,150,5,https://rnikashcrackers.com/storage/7kTlxr3cxXC1KuqZmXCZlFMIaXCFo4-metaU3Vuc2hpbmUtR3JvdW5kLUNoYWtrYXItRGVsdXhlLTEwLVBjcy5qcGc=-.jpg,23_Chakkar_Dlx.jpg
27,Red Bijili,30,6,https://rnikashcrackers.com/storage/rwCbuykST4HaO4z6h6Lc6lonpVkWJ6-metaZG93bmxvYWQuanBn-.jpg,27_Red_Bijili.jpg
28,Striped Bijili,35,6,https://rnikashcrackers.com/storage/rqDZGyY0dpbeHrjT9gzAXaPfO2mUo6-metaYmlqaWxpc3RyaXAxMDAucG5n-.png,28_Striped_Bijili.png
29,Gold Bijili,40,6,https://rnikashcrackers.com/storage/GBZbmVk3KUVvmi0Kw6vd3n6sErnGJ3-metaOWQ0OGJhMWIuanBn-.jpg,29_Gold_Bijili.jpg
31,Colour Rocket,55,7,https://rnikashcrackers.com/storage/Euj7qrXaAkj48cLaWUTZKA1H8S6lt7-metaY29sb3VyLXJvY2tldC5qcGc=-.jpg,31_Colour_Rocket.jpg
32,Rocket Bombs,80,7,https://rnikashcrackers.com/storage/hy6xSMrUmW6ijKzeQ9vP9yBsGqIErX-metacm9ja2V0LWJvbWItY29ybmF0aW9uLmpwZw==-.jpg,32_Rocket_Bombs.jpg
33,Lunic Rocket,150,7,https://rnikashcrackers.com/storage/cgInmtw8QiDEVd8NroJyfwGM2LxPbo-metaU3Vuc2hpbmUtTHVuaWstUm9ja2V0LTEwLVBjcy5qcGc=-.jpg,33_Lunic_Rocket.jpg
35,2 Sound Rocket,160,7,https://rnikashcrackers.com/storage/t86r8SUuC4xAxX7DKZB20BXqflyofn-metaMi1zb3VuZC1maXJld29yay1yb2NrZXQuanBn-.jpg,35_2_Sound_Rocket.jpg
37,"1 1/2"" Twinkling Star Small",30,8,https://rnikashcrackers.com/storage/uZCqzwA5901XKVoEeVYyqQ1yJESGSG-metaZG93bmxvYWQgKDMpLmpwZw==-.jpg,37_1_1_2__Twinkling_Star_Small.jpg
38,"4"" Twinkling Star Dlx",60,8,https://rnikashcrackers.com/storage/CESh7epA2RTfRmgYo8wugKDDYRFeaK-metac2lsdmVyLXR3aW5rbGluZ3MtZGVsdXhlLTEyMGNtLTQtMTAtcGNzLS5wbmc=-.png,38_4__Twinkling_Star_Dlx.png
40,Classic  bomb,130,9,https://rnikashcrackers.com/storage/BtfdsmPeWYLFKXod57gOFaPNAh9CdJ-metaQ0hBLTAxMi5qcGc=-.jpg,40_Classic__bomb.jpg
43,Mercury Tourch,55,10,https://rnikashcrackers.com/storage/jnglmivhyvmUbXon4EsplcEd7EDF24-metaM1RXUlBlMnUud2VicA==-.webp,43_Mercury_Tourch.webp
45,Super DLX Matches,80,11,https://rnikashcrackers.com/storage/fDO5c7CypUh4X3LdJg6nCRIrchCL9a-metaY2hhbXBpb24tZGVsdXhlLWNvbG9yLW1hdGNoZXMtNTU5LmpwZw==-.jpg,45_Super_DLX_Matches.jpg
47,100 Wala,30,12,https://rnikashcrackers.com/storage/yupwwBXDxt97waO8istVUI79HeOUHB-metab291RThrRjhFcm5wbU1LWlMxMFNrSnZKUHVrMHRSLW1ldGFVMk55WldWdWMyaHZkRjh5TURJek1EUXdNbDh5TWpFd05ESXRNREV0TURVdWFuQmxadz09LS5qcGc=-.jpg,47_100_Wala.jpg
51,1000 Wala,120,12,https://rnikashcrackers.com/storage/iPKTDDDzsU95RdUdqd0Ph1HW9JHVGG-metaNENtZTM0Y0IzZ0YxbGpjNzhUeEMwaUVwZWhnb01zLW1ldGFhVzFoWjJWeklDMGdNakF5TXkwd055MHlORlF4TXpBMU1ERXVNakkyTG1wd1pXYz0tLmpwZw==-.jpg,51_1000_Wala.jpg
52,2000 Wala,240,12,https://rnikashcrackers.com/storage/grTNl79mNFt5C8xn5ROcCXuCggh274-metaazFaMjdUV205ZW1wZXlYTnFBWlNKZlN6WnB4Yzd2LW1ldGFhVzFoWjJWeklDMGdNakF5TXkwd055MHlORlF4TXpBME5ETXVPVEV5TG1wd1pXYz0tLmpwZw==-.jpg,52_2000_Wala.jpg
53,5000 Wala,600,12,https://rnikashcrackers.com/storage/I7DoDzEpsH2MwslaAZSlR1YLNfSVhJ-metaRE5UV3hNRjZ6a2VqVlNRWTk2V3NPcWt3RFhwTG5xLW1ldGFOVEF3TUMxM1lXeGhMV2RoY214aGJtUXRZM0poWTJ0bGNuTXROVEF3ZURVd01DNXFjR1ZuLS5qcGc=-.jpg,53_5000_Wala.jpg
54,10000 Wala,1200,12,https://rnikashcrackers.com/storage/UNvT75eHjtPf6du5XhLRXUTyeXFCAP-metad3dxWVVjTklJTFJBNHhQS3NnZzBNTkthZ1pHZGd3LW1ldGFhVzFoWjJWeklDMGdNakF5TXkwd055MHlORlF4TXpBNU5ETXVPVEU1TG1wd1pXYz0tLmpwZw==-.jpg,54_10000_Wala.jpg
55,Electric Stone,15,13,https://rnikashcrackers.com/storage/tISBj4lSNxhBlsb9UBUjTZ0WRQAfhW-metaZG93bmxvYWQgKDQpLmpwZw==-.jpg,55_Electric_Stone.jpg
56,Cortoon,15,13,https://rnikashcrackers.com/storage/4B5pzdUlSee7ATmq7A6KaCdzO0gFB7-metaVW50aXRsZWQgZGVzaWduICg3OCkucG5n-.png,56_Cortoon.png
58,Serpent,50,13,https://rnikashcrackers.com/storage/morXc9UawSBvZ8hs6DQaKPC3s1X9Lz-metaMi1WaW50YWdlLUNvYnJhLUZpcmV3b3Jrcy1MYWJlbHMtRmlyZWNyYWNrZXJzLVdyYXBwZXJzLndlYnA=-.webp,58_Serpent.webp
59,Adiyal (1/4 Kg),50,14,https://rnikashcrackers.com/storage/XAYm9lSZmgn32hlkws8Hx6l2cyTtm3-metadGc4VlBmdHhCVm5pOTV0NGtvZ1BTS2RweWNNMThzLW1ldGFObDlWTFRFMU1DNXFjR2M9LS5qcGc=-.jpg,59_Adiyal__1_4_Kg.jpg
